IP Address,blurop,DNS Name,dfgdfgdfg,Repository,Crit.,High,Med.,Low
10.24.0.1,,api-bravo-001.labs.local,,ALP-SEARCH-APP,5,4,4,5
10.24.0.2,,int-alpha-002.corp.local,,BRA-BATCH-SYS,1,5,5,3
25.25.25.25,,,,BRA-BATCH-SYS,0,0,0,0
,,dmz-matrix-00fds3.test.internal,,ALP-PROFILE-SYS,1,0,1,0
10.24.0.3,,dmz-matrix-003.test.internal,,ALP-PROFILE-SYS,5,2,1,1
10.24.0.4,,edge-charlie-004.test.internal,dfgdfg,ALP-ORDER-OPS,4,5,4,1
10.24.0.5,,web-charlie-005.labs.local,,ALP-ADMIN-SVC,3,3,5,4
10.24.0.6,sdfgsdgf,stage-atlas-006.corp.local,dfgdfg,CHA-PROXY-SYS,2,3,3,2
10.24.0.7,,ops-orion-007.uat.example,dfgdfg,BRA-SYNC-APP,2,2,5,1
10.24.0.8,,west-foxtrot-008.example.com.au,,ALP-AUTH-SVC,3,5,4,5
10.24.0.9,sdfsdf,api-orion-009.example.com.au,,ALP-REPORT-SYS,4,5,1,2
10.24.0.10,,core-river-010.test.internal,,BRA-DATA-APP,2,3,5,5
10.24.0.11,,edge-matrix-011.uat.example,,LEG-LEGACY-IDM-APP,4,3,4,1
10.24.0.12,,edge-foxtrot-012.demo.net,,ALP-SEARCH-APP,5,5,3,3
10.24.0.13,,stage-vault-013.uat.example,,CHA-JUMP-SVC,1,5,2,5
10.24.0.14,,svc-zen-014.uat.example,,LEG-LEGACY-ERP-OPS,4,4,5,5
10.24.0.15,,south-bravo-015.demo.net,,BRA-KAFKA-SVC,3,2,1,5
10.24.0.16,,ops-bravo-016.test.internal,,CHA-DNS-APP,2,2,3,2
10.24.0.17,,dev-delta-017.demo.net,,BRA-SYNC-APP,4,3,4,4
10.24.0.18,,edge-fusion-018.corp.local,,BRA-MODEL-APP,3,4,5,4
10.24.0.19,,data-river-019.test.internal,,ALP-PAY-OPS,2,4,4,5
10.24.0.20,,south-cloud-020.test.internal,,CHA-WAF-APP,4,4,2,5
10.24.0.21,,node-vector-021.test.internal,,CHA-EDGE-SVC,5,5,1,1
10.24.0.22,,east-nova-022.labs.local,,ALP-AUTH-SVC,5,4,4,5
10.24.0.23,,south-relay-023.test.internal,,BRA-SYNC-APP,4,1,3,2
10.24.0.24,,app-matrix-024.example.com.au,,BRA-INGEST-SYS,1,4,5,1
10.24.0.25,,app-matrix-025.test.internal,,ALP-ORDER-OPS,2,5,5,1
10.24.0.26,,svc-zen-026.test.internal,,ALP-BILLING-SYS,4,5,5,4
10.24.0.27,,svc-stone-027.example.com.au,,BRA-INDEX-SVC,5,3,4,4
10.24.0.28,,web-cloud-028.example.com.au,,ALP-API-APP,2,5,4,4
10.24.0.29,,edge-zen-029.labs.local,,BRA-BATCH-SYS,4,1,4,1
10.24.0.30,,node-fusion-030.demo.net,,BRA-ETL-APP,2,1,3,3
10.24.0.31,,dmz-echo-031.example.com.au,,LEG-LEGACY-IDM-APP,5,5,3,4
10.24.0.32,,data-zen-032.demo.net,,ALP-PAY-OPS,4,2,4,4
